id,lg,lang,voice,source,tags,csvKeys,missingCsvKeys,textHash,mp3,webm,mp3Exists,webmExists,generated,newSinceLastRun,text
api-settings-safe-en,en,en-US,alloy,,,,,01983e335cc9f488,api-settings-safe-en.mp3,api-settings-safe-en.webm,false,false,false,false,"API settings stay in this browser. Test locally first, then use linked OpenAI voice only when the message is ready."
fever-loop-best-1975-full-de,de,de-DE,echo,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,578b432d06c6cb45,fever-loop-best-1975-full-de.mp3,fever-loop-best-1975-full-de.webm,false,true,true,false,"Fruhes Erwarmungssignal. Der Klimatrend ist erkennbar, aber noch relativ begrenzt. Das Signal zeigt: Erwaermung plus 0.2 Grad, AMOC-Staerke 99 Prozent, Kipprisiko 6 Prozent. Das Signal geht in den naechsten Schritt von fuenfundzwanzig Jahren ueber."
fever-loop-best-1975-full-en,en,en-US,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,10c63b7c55975d80,fever-loop-best-1975-full-en.mp3,fever-loop-best-1975-full-en.webm,false,true,true,false,"Early warming signal. The climate trend is detectable but still relatively limited. The signal reads: warming is plus 0.2 degrees, AMOC strength is 99 percent, tipping risk is 6 percent. The signal continues into the next twenty-five year step."
fever-loop-best-1975-full-fr,fr,fr-FR,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,9adf305651bc25dc,fever-loop-best-1975-full-fr.mp3,fever-loop-best-1975-full-fr.webm,false,true,true,false,"Signal de rechauffement precoce. La tendance climatique est detectable, mais reste encore relativement limitee. Le signal indique : rechauffement de plus 0.2 degres, force de l AMOC 99 pour cent, risque de bascule 6 pour cent. Le signal continue vers la prochaine etape de vingt-cinq ans."
fever-loop-best-1975-full-hi,hi,hi-IN,nova,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,4a9a3bf6e567e5df,fever-loop-best-1975-full-hi.mp3,fever-loop-best-1975-full-hi.webm,false,true,true,false,"प्रारंभिक गर्माहट संकेत. जलवायु प्रवृत्ति दिखाई देने लगी है, लेकिन अभी अपेक्षाकृत सीमित है. संकेत बताता है: गर्माहट प्लस 0.2 डिग्री है, AMOC की शक्ति 99 प्रतिशत है, टिपिंग जोखिम 6 प्रतिशत है. संकेत अगले पच्चीस-वर्षीय चरण में जारी रहता है."
fever-loop-best-1975-full-nl,nl,nl-NL,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,bd3d91f27cef06ec,fever-loop-best-1975-full-nl.mp3,fever-loop-best-1975-full-nl.webm,false,true,true,false,"Vroeg opwarmingssignaal. De klimaattrend is meetbaar, maar nog relatief beperkt. Het signaal geeft aan: opwarming is plus 0.2 graden, AMOC-sterkte is 99 procent, kantelrisico is 6 procent. Het signaal gaat door naar de volgende stap van vijfentwintig jaar."
fever-loop-best-1975-full-ru,ru,ru-RU,onyx,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,d33cbb2e97042b25,fever-loop-best-1975-full-ru.mp3,fever-loop-best-1975-full-ru.webm,false,true,true,false,"Ранний сигнал потепления. Климатический тренд уже заметен, но остается относительно ограниченным. Сигнал показывает: потепление плюс 0.2 градуса, сила AMOC составляет 99 процентов, риск точек перелома составляет 6 процентов. Сигнал переходит к следующему шагу в двадцать пять лет."
fever-loop-best-1975-full-uk,uk,uk-UA,onyx,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,a0ec8286451d8e97,fever-loop-best-1975-full-uk.mp3,fever-loop-best-1975-full-uk.webm,false,true,true,false,"Early warming signal. The climate trend is detectable but still relatively limited. Сигнал показує: потепління плюс 0.2 градуса, сила AMOC становить 99 відсотків, ризик точок перелому становить 6 відсотків. Сигнал переходить до наступного кроку у двадцять п’ять років."
fever-loop-best-1975-full-zh,zh,zh-CN,nova,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-full,,,3207a831b824401c,fever-loop-best-1975-full-zh.mp3,fever-loop-best-1975-full-zh.webm,false,true,true,false,"早期变暖信号. 气候趋势已经可以探测到，但仍然相对有限。 信号显示： 升温为正 0.2 度, AMOC 强度为 99%, 临界点风险为 6%. 信号继续进入下一个二十五年阶段。"
fever-loop-best-1975-normal-de,de,de-DE,echo,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,de4ca0958013de9b,fever-loop-best-1975-normal-de.mp3,fever-loop-best-1975-normal-de.webm,false,true,true,false,"Fruhes Erwarmungssignal. Der Klimatrend ist erkennbar, aber noch relativ begrenzt. Das Signal zeigt: Erwaermung plus 0.2 Grad, AMOC-Staerke 99 Prozent, Kipprisiko 6 Prozent."
fever-loop-best-1975-normal-en,en,en-US,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,19e3cee1c78f717b,fever-loop-best-1975-normal-en.mp3,fever-loop-best-1975-normal-en.webm,false,true,true,false,"Early warming signal. The climate trend is detectable but still relatively limited. The signal reads: warming is plus 0.2 degrees, AMOC strength is 99 percent, tipping risk is 6 percent."
fever-loop-best-1975-normal-fr,fr,fr-FR,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,49da00395971d4f4,fever-loop-best-1975-normal-fr.mp3,fever-loop-best-1975-normal-fr.webm,false,true,true,false,"Signal de rechauffement precoce. La tendance climatique est detectable, mais reste encore relativement limitee. Le signal indique : rechauffement de plus 0.2 degres, force de l AMOC 99 pour cent, risque de bascule 6 pour cent."
fever-loop-best-1975-normal-hi,hi,hi-IN,nova,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,4e3db0cf62dc4fe2,fever-loop-best-1975-normal-hi.mp3,fever-loop-best-1975-normal-hi.webm,false,true,true,false,"प्रारंभिक गर्माहट संकेत. जलवायु प्रवृत्ति दिखाई देने लगी है, लेकिन अभी अपेक्षाकृत सीमित है. संकेत बताता है: गर्माहट प्लस 0.2 डिग्री है, AMOC की शक्ति 99 प्रतिशत है, टिपिंग जोखिम 6 प्रतिशत है."
fever-loop-best-1975-normal-nl,nl,nl-NL,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,0feecf50ce484c05,fever-loop-best-1975-normal-nl.mp3,fever-loop-best-1975-normal-nl.webm,false,true,true,false,"Vroeg opwarmingssignaal. De klimaattrend is meetbaar, maar nog relatief beperkt. Het signaal geeft aan: opwarming is plus 0.2 graden, AMOC-sterkte is 99 procent, kantelrisico is 6 procent."
fever-loop-best-1975-normal-ru,ru,ru-RU,onyx,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,c1b4084fc3d8bbe2,fever-loop-best-1975-normal-ru.mp3,fever-loop-best-1975-normal-ru.webm,false,true,true,false,"Ранний сигнал потепления. Климатический тренд уже заметен, но остается относительно ограниченным. Сигнал показывает: потепление плюс 0.2 градуса, сила AMOC составляет 99 процентов, риск точек перелома составляет 6 процентов."
fever-loop-best-1975-normal-uk,uk,uk-UA,onyx,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,44aa13f11f18d4c9,fever-loop-best-1975-normal-uk.mp3,fever-loop-best-1975-normal-uk.webm,false,true,true,false,"Early warming signal. The climate trend is detectable but still relatively limited. Сигнал показує: потепління плюс 0.2 градуса, сила AMOC становить 99 відсотків, ризик точок перелому становить 6 відсотків."
fever-loop-best-1975-normal-zh,zh,zh-CN,nova,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-normal,,,8583023bf5298f70,fever-loop-best-1975-normal-zh.mp3,fever-loop-best-1975-normal-zh.webm,false,true,true,false,"早期变暖信号. 气候趋势已经可以探测到，但仍然相对有限。 信号显示： 升温为正 0.2 度, AMOC 强度为 99%, 临界点风险为 6%."
fever-loop-best-1975-short-de,de,de-DE,echo,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-short,,,8c0c2002a16ee8a1,fever-loop-best-1975-short-de.mp3,fever-loop-best-1975-short-de.webm,false,true,true,false,"Fruhes Erwarmungssignal. Das Signal zeigt: Erwaermung plus 0.2 Grad, AMOC-Staerke 99 Prozent, Kipprisiko 6 Prozent."
fever-loop-best-1975-short-en,en,en-US,shimmer,fever-scenarios.json,fever-loop|fever-milestone|fever-best|fever-short,,,928f24cee50925ab,fever-loop-best-1975-short-en.mp3,fever-loop-best-1975-short-en.webm,false,true,true,false,"Early warming signal. The signal reads: warming is plus 0.2 degrees, AMOC strength is 99 percent, tipping risk is 6 percent."
