key,en,fr,nl,de,es,ar,zh,hi,ja,ru,uk
# Smart IceOff - topic.earth UI translations
# Edit in a spreadsheet. Empty cells fall back to English.
# Auto-generated rows use auto.* keys. Stable hand-authored keys stay unchanged.
# Use {count}, {name}, {year}, {value}, etc. as placeholders.
admin.mode,Admin mode,Mode admin,Adminmodus,Adminmodus,Modo admin,,,,,,
admin.removeLayer,Remove layer,Supprimer la couche,Laag verwijderen,Ebene entfernen,Eliminar capa,,,,,,
admin.removeTopic,Remove topic,Supprimer le sujet,Onderwerp verwijderen,Thema entfernen,Eliminar tema,,,,,,
app.brand,topic.earth,topic.earth,,,,,,,,,
auto.appMain.area,Area:,Superficie :,,,,,,,,,
auto.appMain.browserStorageCouldNotSaveValueDownload,"Browser storage could not save {value} . Download an admin package now, then reduce embedded media before adding more topics.","Le stockage du navigateur n'a pas pu enregistrer {value}. Téléchargez maintenant un package admin, puis réduisez les médias intégrés avant d'ajouter d'autres sujets.",,,,,,,,,
auto.appMain.capitalCoordinates,Capital Coordinates:,Coordonnées de la capitale :,,,,,,,,,
auto.appMain.closeReadingPanel,Close reading panel,Fermer le panneau de lecture,,,,,,,,,
auto.appMain.fetchingLocationInformation,Fetching location information...,Récupération des informations de localisation...,,,,,,,,,
auto.appMain.localProposalSeededFromValueForValue,"Local proposal seeded from "" {value} "" for {value} . It stays on this device, can later host comments or posts, and is ready for admin review when needed.","Proposition locale créée à partir de « {value} » pour {value}. Elle reste sur cet appareil, pourra plus tard accueillir des commentaires ou publications, et sera prête pour une revue admin si nécessaire.",,,,,,,,,
auto.appMain.locationValueValue,"Location: {value} , {value}","Localisation : {value}, {value}",,,,,,,,,
auto.appMain.newUpdatesAvailable,New updates available!,Nouvelles mises à jour disponibles !,,,,,,,,,
auto.appMain.onlyBrowserCustomTopicsCanBeRemoved,Only browser/custom topics can be removed in this phase. Built-in app topics are protected.,Seuls les sujets navigateur/personnalisés peuvent être supprimés à cette étape. Les sujets intégrés de l'app sont protégés.,,,,,,,,,
auto.appMain.onlyCustomBrowserLayersCanBeRemoved,Only custom browser layers can be removed in this phase. Built-in app layers are protected.,Seules les couches navigateur/personnalisées peuvent être supprimées à cette étape. Les couches intégrées de l'app sont protégées.,,,,,,,,,
auto.appMain.population,Population:,Population :,,,,,,,,,
